Area,Height,Days,Location
Galdhopiggen,0,1,"Innlandet, Norway"
"Mt. Goode",0,1,"Washington, United States"
"Devil Boulder",10,1,"North Carolina, United States"
"Laurel Springs Ice",30,1,"North Carolina, United States"
"Wildcat Falls",30,1,"California, United States"
"The Great Wall",50,1,"Kentucky, United States"
"Bullwinkle Tower",60,1,"Utah, United States"
"The Chimneys",60,1,"North Carolina, United States"
"Stone Fort",63,1,"Tennessee, United States"
"Entrance Wall",70,1,"West Virginia, United States"
"Bongeater Buttress",80,1,"Utah, United States"
"Coffin Buttress",80,1,"Utah, United States"
"Moores Wall Bouldering",80,2,"North Carolina, United States"
"The Beach",80,1,"West Virginia, United States"
"DC Memorial Boulder",85,1,"West Virginia, United States"
"Johnnys Wall",90,1,"Kentucky, United States"
"The Pickle",90,1,"Utah, United States"
"The Pinnacle",95,1,"West Virginia, United States"
"Owl Rock",100,1,"Utah, United States"
"Surprising Crag",100,1,"Colorado, United States"
"Judy Gap",110,1,"West Virginia, United States"
Kaymoor,120,1,"West Virginia, United States"
"Laurel Knob",120,1,"North Carolina, United States"
"Satisfaction Wall",125,1,"West Virginia, United States"
"Great Falls",135,1,"Virginia, United States"
"Plato de Lagoa",140,1,"Rio de Janeiro, Brazil"
"Garden of the Gods",150,1,"Colorado, United States"
"Bruise Brothers Wall",160,2,"Kentucky, United States"
"Fendas de Barrinha",160,1,"Rio de Janeiro, Brazil"
"Thatchtop Mt",160,1,"Colorado, United States"
"The Solarium",160,1,"Kentucky, United States"
"The Underworld",160,2,"North Carolina, United States"
Nesbyen,170,1,"Buskerud, Norway"
"Taylor Canyon",170,1,"Colorado, United States"
"Wave Wall",175,1,"West Virginia, United States"
"Crowders Mountain",180,1,"North Carolina, United States"
Flaggberg,180,1,"Innlandet, Norway"
"Gold Coast",180,1,"Kentucky, United States"
"Moores North End",180,1,"North Carolina, United States"
"Cookie Cliff",190,1,"California, United States"
Aquidauana,195,1,"Matto Grosso do Sul, Brazil"
"Tectonic Wall",200,1,"Kentucky, United States"
"Tower Rock",200,1,"Kentucky, United States"
"Hartman Rocks",205,2,"Colorado, United States"
"Cotton Club",210,1,"West Virginia, United States"
"Bridge Buttress",220,2,"West Virginia, United States"
"The Cookbook",220,1,"North Carolina, United States"
"Pebble Beach",230,1,"Kentucky, United States"
"Rico Suave Buttress",240,1,"West Virginia, United States"
"Sasquatch Crag",240,1,"West Virginia, United States"
"Parriot Mesa",250,1,"Utah, United States"
"Safe Harbor South",250,1,"Pennsylvania, United States"
"South Sixshooter",250,1,"Utah, United States"
"The Sphinx",250,1,"Utah, United States"
"The Spiders Web",250,1,"New York, United States"
"Point Dume",260,1,"California, United States"
"Riverton Rock",275,2,"West Virginia, United States"
"Doughton Park",280,1,"North Carolina, United States"
"Shagg Crag",280,1,"Maine, United States"
"Ship Rock",280,1,"North Carolina, United States"
"Big Rock Mountain",285,1,"South Carolina, United States"
"Grayson Highlands",285,3,"Virginia, United States"
"Kwik-E-Mart Wall",285,1,"West Virginia, United States"
"Mount Yonah",290,1,"Georgia, United States"
"Spring Creek",290,1,"Colorado, United States"
"Crescent Crack Buttress",300,1,"Utah, United States"
"Mount Olympus",300,2,"Washington, United States"
Svolvaergeita,300,1,"Nordland, Norway"
"Petes Rock",310,1,"Utah, United States"
"Five Open Books",320,1,"California, United States"
"Otter Cliffs",320,1,"Maine, United States"
"Honey Hole",330,2,"West Virginia, United States"
Utopia,330,1,"Utah, United States"
"Fortress Wall",340,2,"Kentucky, United States"
"Hidden Valley Campground",340,1,"California, United States"
"Tieranny Roofs",340,1,"Tennessee, United States"
"Redgarden Wall",350,1,"Colorado, United States"
"Cat Wall",385,1,"Utah, United States"
"The Biscuit",391,1,"Arizona, United States"
"Morro Dona Marta",400,1,"Rio de Janeiro, Brazil"
Poke-O-Moonshine,400,1,"New York, United States"
"Sespe Gorge",400,1,"California, United States"
"Sunnyside Bench",400,1,"California, United States"
"Window Dome",400,1,"California, United States"
Graalzinho,415,2,"Rio de Janeiro, Brazil"
"Narcissus Cave",440,5,"West Virginia, United States"
"Sand Rock",460,3,"Alabama, United States"
"Shelving Rock",470,1,"New York, United States"
Jarberget,475,2,"Innlandet, Norway"
"The Near Trapps",480,1,"New York, United States"
"Whitewater Buttress",480,2,"North Carolina, United States"
"Pena de Bernal",500,1,"Queretaro, Mexico"
"Long Wall",510,2,"West Virginia, United States"
"Camden Hills",520,2,"Maine, United States"
Natten,540,2,"Buskerud, Norway"
"The Trestle",590,4,"North Carolina, United States"
"Cannon Cliff",600,1,"New Hampshire, United States"
"Reeds Creek",637,3,"West Virginia, United States"
Cantagalo,650,2,"Rio de Janeiro, Brazil"
"Teer Quarry",665,6,"North Carolina, United States"
Djupfjorden,710,2,"Nordland, Norway"
"Orange Oswald Wall",715,3,"West Virginia, United States"
"Endless Wall",720,1,"West Virginia, United States"
"The Dump",725,3,"North Carolina, United States"
"Fern Buttress",730,2,"West Virginia, United States"
"The Trapps",770,1,"New York, United States"
Babilonia,800,2,"Rio de Janeiro, Brazil"
"Circus Wall",820,4,"North Carolina, United States"
"Bubba City",845,2,"West Virginia, United States"
"Morro da Urca",880,2,"Rio de Janeiro, Brazil"
"Tyler Peak Crags",900,1,"Washington, United States"
"Upper Meadow",995,3,"West Virginia, United States"
"Brass Wall",1000,1,"Nevada, United States"
"Chasm Lake",1000,1,"Colorado, United States"
Corcovado,1000,2,"Rio de Janeiro, Brazil"
"Linville Amphitheater",1000,2,"North Carolina, United States"
"Black Canyon of the Gunnison",1025,1,"Colorado, United States"
"Leaning Tower",1040,3,"California, United States"
"Moores Central Wall",1060,5,"North Carolina, United States"
"Cathedral Ledge",1065,3,"New Hampshire, United States"
"Sentinel Buttress",1090,5,"North Carolina, United States"
"Elephant Butte",1100,1,"Utah, United States"
"El Capitan",1120,1,"California, United States"
"Moores Amphitheater",1120,5,"North Carolina, United States"
"Beauty Mountain",1135,4,"West Virginia, United States"
"Rocky Face",1270,6,"North Carolina, United States"
"Champe Rocks",1275,3,"West Virginia, United States"
Presten,1300,1,"Nordland, Norway"
Capacete,1312,1,"Rio de Janeiro, Brazil"
"Pedra da Gavea",1425,1,"Rio de Janeiro, Brazil"
"Looking Glass Rock",1450,4,"North Carolina, United States"
Sauratown,1530,5,"North Carolina, United States"
"Cereal Buttress",1590,4,"North Carolina, United States"
"Table Rock",1710,5,"North Carolina, United States"
"The Junkyard",1891,8,"West Virginia, United States"
"Black Mountain Alpine",2200,1,"North Carolina, United States"
"Whitehorse Ledge",2200,1,"New Hampshire, United States"
"Gandalf Wall",3260,4,"Nordland, Norway"
"Nelson Rocks",8175,31,"West Virginia, United States"
"Stone Mountain",8360,13,"North Carolina, United States"
"El Potrero Chico",8915,11,"Nuevo Leon, Mexico"
"Pao de Acucar",9820,9,"Rio de Janeiro, Brazil"
"Pilot Mountain",10708,39,"North Carolina, United States"
"Seneca Rocks",46340,164,"West Virginia, United States"
