Laps,Climb,Area,Difficulty,"Leisure Laps","Guiding Laps"
25,"Totem (p1 only)","Seneca Rocks",5.4,5,20
21,"Old Man's Route","Seneca Rocks",5.2,11,10
15,"Devil in the White House","Pilot Mountain",5.10c,15,0
13,"Skyline Traverse","Seneca Rocks",5.3,9,4
13,"The Medallion","Teer Quarry",5.10a,13,0
11,Predator,"Seneca Rocks",5.12a,11,0
10,"Conn's West","Seneca Rocks",5.4,3,7
9,"Gunsight to South Peak","Seneca Rocks",5.4,6,3
9,"Old Ladies Route","Seneca Rocks",5.2,6,3
9,"The Great Arch","Stone Mountain",5.5,8,1
8,"Worrell's Thicket","Seneca Rocks",5.1,5,3
8,"Roy Gap Chimney's","Seneca Rocks",5.6,2,6
8,"Ecstasy Junior","Seneca Rocks",5.4,5,3
8,"New Yosemite","The Junkyard",5.9,8,0
8,Erocktica,"Pilot Mountain",5.10c,8,0
7,Crescendo,"Nelson Rocks",5.10a,7,0
7,"Candy Corner","Seneca Rocks",5.6,2,5
6,"The Burn","Seneca Rocks",5.8,3,3
6,"Any Major Dude","Pilot Mountain",5.11c,6,0
5,"Critter Crack","Seneca Rocks",5.6,3,2
5,Thais,"Seneca Rocks",5.6,2,3
5,Ambush,"Seneca Rocks",5.11a,3,2
5,"Grandpa's Belay","Pilot Mountain",5.6,5,0
5,"U Slot","Stone Mountain","5.7, PG13",4,1
5,"Sentinel Buttress","Sentinel Buttress",5.5,5,0
5,"Pole Dancing","Pilot Mountain",5.7,5,0
4,"Porcelain Pump","Nelson Rocks",5.11a,4,0
4,Mongoose,"Seneca Rocks",5.11a,4,0
4,Lifers,"Nelson Rocks",5.10a,4,0
4,Dominion,"Nelson Rocks",5.10b,4,0
4,"West Pole","Seneca Rocks",5.7,3,1
4,"Man Overboard","Pilot Mountain",5.10c,4,0
4,Costao,"Pao de Acucar",5.7,3,1
4,"Bee Sting Corner","Seneca Rocks",5.7,3,1
4,"Le Gourmet","Seneca Rocks",5.4,2,2
4,"Neck Press","Seneca Rocks",5.7,2,2
4,Prune,"Seneca Rocks",5.7,3,1
4,Narcissus,"Narcissus Cave",5.12a,4,0
4,"Thais - Variation Thais Escape","Seneca Rocks",5.5,0,4
4,"Ye Gods & Little Fishes","Seneca Rocks",5.8,2,2
4,"Triple S","Seneca Rocks",5.8,2,2
4,Outhouse,"Pilot Mountain",5.7,4,0
4,"Crackin' Up","Pilot Mountain",5.7,4,0
4,"Son of White Trash","The Dump",5.8,4,0
4,"Pilot Error (chicken bone right)","Pilot Mountain",5.8-,4,0
4,Vegomatic,"Pilot Mountain",5.7+,4,0
4,Hardman,"Rocky Face",5.11b,4,0
4,"NE end flows","Doughton Park",WI3-,4,0
4,"The Herculean Test","Pilot Mountain",5.10d,4,0
4,"Henar Lite","Pilot Mountain",5.10c,4,0
4,"Smooth Sailing (aka Lloyd Would Have Liked It)","Pilot Mountain",5.10a,4,0
3,"West Face","Leaning Tower","5.7, C3, Grade V",3,0
3,"Frosted Flake","Cereal Buttress",5.9+,3,0
3,"Marshall's Madness","Seneca Rocks",5.9,2,1
3,"Grizzly Adams","Nelson Rocks",5.11a,3,0
3,Coringa,"Pao de Acucar",5.6,2,1
3,"Front C","Seneca Rocks",5.6,1,2
3,"Lower Skyline Direct (LSD)","Seneca Rocks",5.5,2,1
3,"License to Drill","Nelson Rocks",5.10a,3,0
3,Pollux,"Seneca Rocks",5.10a,3,0
3,"Right Tope","Seneca Rocks",5.9,3,0
3,"Block Party","Seneca Rocks",5.8,1,2
3,Sunshine,"Seneca Rocks","5.10a, PG13",3,0
3,Ecstasy,"Seneca Rocks",5.7,3,0
3,"High Test","Seneca Rocks",5.9,3,0
3,"Hot Yoga","Pilot Mountain",5.10a,3,0
3,KMA,"Pilot Mountain",5.8,3,0
3,"Unwritten Law","The Dump",5.12b,3,0
3,"Dimpsty Dumpster","The Dump",5.10a,3,0
3,"Voodoo Child","The Dump",5.11a,3,0
3,"Fear of Flying","Seneca Rocks",5.8,1,2
3,"Quaker State","Moores Amphitheater",5.11a,3,0
3,"Head Jam","Moores Central Wall",5.6,3,0
3,"Chicken Bone","Pilot Mountain",5.8,3,0
3,"Daughton Line","Doughton Park",WI3,3,0
3,"Black Hole","Rocky Face",5.10d,3,0
3,"Sunny Day","Rocky Face",5.8,3,0
3,"Pillar Assault","Pilot Mountain",5.8,3,0
3,"Overhang Hangover","Pilot Mountain",5.11b,3,0
3,"True Grits","Pilot Mountain",5.8+,3,0
3,"Walk the Plank","Pilot Mountain",5.8,3,0
3,"Team Jesus","The Junkyard",5.10a,3,0
3,"New River Gunks","The Junkyard",5.7+,3,0
3,"Fruit Loops","Cereal Buttress",5.7+,3,0
3,"The Entertainer","The Junkyard",5.10a,3,0
3,"Teflon Toes","Pilot Mountain",5.11a,3,0
3,"Tee Ball","The Trestle",5.6,3,0
2,"The Glass Menagerie (Aid)","Looking Glass Rock","5.10a, C2, PG13, Grade IV",2,0
2,"Blue Glacier","Mount Olympus","Moderate Snow, 5th, Grade II",2,0
2,"Bat Girl","Sasquatch Crag",5.9,2,0
2,"Master Gardner","Cotton Club",5.7-,2,0
2,Starry,"Upper Meadow",5.12a,2,0
2,"Mr. Cute","Upper Meadow",5.11a,2,0
2,Kakaroots,Cantagalo,5.9,2,0
2,"Inversao Feminina",Graalzinho,5.7,2,0
2,"Formiga Atomica",Graalzinho,5.6,2,0
2,Graalzinho,Graalzinho,5.5,2,0
2,K2,Corcovado,"5.9, PG13",2,0
2,"Via dos Italianos","Pao de Acucar","5.10a, Grade III",2,0
2,"Dufty's Popoff","Seneca Rocks","5.7, PG13",2,0
2,"Gert's Grungy Gulley","Seneca Rocks",5.4,0,2
2,"Gunsight to South Peak Direct","Seneca Rocks",5.4,1,1
2,Millennium,"Nelson Rocks",5.7,2,0
2,"Green Wall","Seneca Rocks",5.7,1,1
2,Mushrooms,"Beauty Mountain",5.10a,2,0
2,"Back to the Front","Seneca Rocks",5.9,2,0
2,"Seneca Daze","Seneca Rocks","5.7, PG13",1,1
2,"Never Say Never","Nelson Rocks",5.10c,2,0
2,"Internal Dialogue","Reeds Creek",5.8,2,0
2,"Honey Hole 5.7","Honey Hole",5.7,2,0
2,"Honey Hole 5.10a","Honey Hole",5.10a,2,0
2,"Pleasant Overhangs","Seneca Rocks",5.7,2,0
2,"Climbin' Punishment","Seneca Rocks",5.8,2,0
2,"Conn's East","Seneca Rocks",5.6,2,0
2,Kauffman-Cardon,"Seneca Rocks",5.4,1,1
2,T&T,"Seneca Rocks",5.8,2,0
2,"Up and Coming","Seneca Rocks",5.4,1,1
2,"Sea of Tranquility","Reeds Creek",5.10a,2,0
2,"Breakneck Direct","Seneca Rocks",5.10b,2,0
2,Oz,"Nelson Rocks",5.7,2,0
2,"Humphrey's Head","Seneca Rocks",5.4,2,0
2,Abandoned,"Nelson Rocks",5.7,2,0
2,"Southwest Buttress Variation","Seneca Rocks",5.5,2,0
2,"Random 5.6","Petes Rock",5.6,2,0
2,"Blind Prophet","Pilot Mountain","5.12b, PG13",2,0
2,Springboard,"Fern Buttress",5.10b,2,0
2,"Animal Logic","DC Memorial Boulder",5.12b,2,0
2,"Dude on the Corner","Pilot Mountain",5.9,2,0
2,"Easy Hard","Moores Central Wall",5.5,1,1
2,"The 8th Sin","The Underworld",5.11d,2,0
2,"Short Shagg","Shagg Crag",5.9,2,0
2,"Dirty Harry","Camden Hills",5.11a,2,0
2,"500 Pound Flakeout","Camden Hills",5.7,2,0
2,"Wonder Wall","Otter Cliffs",5.8,2,0
2,Castor,"Seneca Rocks",5.10a,2,0
2,Soler,"Seneca Rocks",5.7,2,0
2,"Fat Boy","Pilot Mountain",5.11a,2,0
2,"Thin to Win","Pilot Mountain",5.10b,2,0
2,"Almost Seven (aka Golden Earring)","Moores Amphitheater",5.7,2,0
2,"Bedtime for Bonzo","Fortress Wall",5.6,2,0
2,"Entrance Crack","Stone Mountain","5.5, R",2,0
2,"Kish Dish",Sauratown,5.8,2,0
2,Novi,"Pilot Mountain",5.7+,2,0
2,"Left Of Time","Rocky Face",5.7,2,0
2,Bullistics,"Rocky Face",5.10b,2,0
2,"Hidden-mite short","Rocky Face",5.9+,2,0
2,"Mr. Henar","Pilot Mountain","5.12a, PG13",2,0
2,"When Shrimp Learn to Whistle","Pilot Mountain",5.11b,2,0
2,Deceivious,"The Cookbook",5.1,2,0
2,"Flight Time","Rocky Face",5.7+,2,0
2,"Barbs World",Sauratown,5.10b,2,0
2,Quickdraw,"Rocky Face",5.11b,2,0
2,"Blast in Black","Rocky Face",5.9+,2,0
2,"Anguish of Captain Bligh","Ship Rock",5.11a,2,0
2,"Block Route","Stone Mountain","5.7+, PG13",2,0
2,"Burning Calves","Beauty Mountain",5.10b,2,0
2,"Out of Mind","Beauty Mountain",5.10a,2,0
2,"Happy Hands","Beauty Mountain",5.9,2,0
2,"Hippie Dreams","Orange Oswald Wall",5.7+,2,0
2,"The Rico Suave Arete aka Rico Suave","Rico Suave Buttress",5.10a,2,0
2,Yowsah,Kaymoor,5.12b,2,0
2,Casablanca,"Pilot Mountain",5.10a,2,0
2,"Too Old to Rock and Roll","Pilot Mountain",5.10c,2,0
2,"Wailing Wall","Moores Amphitheater",5.6,2,0
2,"Zoo View","Circus Wall",5.7+,2,0
2,Butterfingers,"Pilot Mountain",5.11a,2,0
2,Jammerfest,Djupfjorden,5.10b,2,0
2,Gandalf,"Gandalf Wall",5.8,2,0
2,"Litten Oppdrift",Natten,5.11a,2,0
2,"Whiskey Sour",Sauratown,5.6,2,0
2,"Another Alternative","Pilot Mountain",5.8,2,0
2,"To Tee or Not To Tee","The Trestle",5.10a,2,0
2,"Climbing Merit Badge","Sand Rock",5.6,2,0
2,Psycho-metric,"Pilot Mountain",5.11a,2,0
2,"No Alternative","Stone Mountain","5.5, PG13",2,0
2,"The Black Hole","Pilot Mountain",5.10b,2,0
2,Ironman,"Pilot Mountain",5.8+,2,0
2,Crackerjack,"Table Rock",5.8,2,0
2,"Sniff the Drill","Narcissus Cave",5.8,2,0
2,"She Got the Bosch, I Got Drilled","Orange Oswald Wall",5.10a,2,0
2,"Chunko Goes Bowling","Orange Oswald Wall",5.9+,2,0
2,Granola,"Cereal Buttress",5.8+,2,0
2,"East Of Eden","Grayson Highlands",V0-,2,0
2,"Magnetic North","Grayson Highlands",V0-,2,0
2,"Peace of Westphalia (PoW)","Grayson Highlands",V0,2,0
2,"Windy Heights","Grayson Highlands",V0-,2,0
2,"Highland Highball","Grayson Highlands",V1-,2,0
2,Slabacious,"Grayson Highlands",V0,2,0
2,"Huecool Junior","Tieranny Roofs",5.10c,2,0
2,"Reaching New Heights","The Junkyard",5.11b,2,0
2,"Bubba Safari","Bubba City","5.8, PG13",2,0
2,"Iced Tee","The Trestle",5.8+,2,0
2,"Papa Bear","Pilot Mountain",5.10b,2,0
2,"Black Rain","Pilot Mountain",5.9,2,0
2,"Baby Bear","Pilot Mountain",5.11a,2,0
2,"Spock's Brain","Seneca Rocks",5.11a,2,0
2,"Mild Mannered Secretary","Pilot Mountain",5.7,2,0
1,Commitment,"Five Open Books",5.9,1,0
1,"Separate Reality","Wildcat Falls",5.12a,1,0
1,"Regular Route","Sunnyside Bench",5.5,1,0
1,Butterballs,"Cookie Cliff",5.11c,1,0
1,"Beverly's Tower","Cookie Cliff",5.10a,1,0
1,Freeblast,"El Capitan","5.9, C2, Grade IV",1,0
1,Tuscarora,"Champe Rocks",5.7,1,0
