Area,Days,Height,Location
Moores Amphitheater,1,120,"North Carolina, United States"
Great Falls,1,135,"Virginia, United States"
The Underworld,2,160,"North Carolina, United States"
Whitewater Buttress,1,180,"North Carolina, United States"
Seneca Rocks,8,"2,820","West Virginia, United States"
Sentinel Buttress,1,200,"North Carolina, United States"
The Cookbook,1,220,"North Carolina, United States"
Moores Central Wall,2,250,"North Carolina, United States"
The Spiders Web,1,250,"New York, United States"
Ship Rock,1,280,"North Carolina, United States"
Otter Cliffs,1,320,"Maine, United States"
Cereal Buttress,1,340,"North Carolina, United States"
Beauty Mountain,1,365,"West Virginia, United States"
Camden Hills,1,40,"Maine, United States"
Poke-O-Moonshine,1,400,"New York, United States"
Circus Wall,2,420,"North Carolina, United States"
Cathedral Ledge,1,440,"New Hampshire, United States"
Shelving Rock,1,470,"New York, United States"
The Near Trapps,1,480,"New York, United States"
The Dump,2,530,"North Carolina, United States"
Stone Mountain,1,550,"North Carolina, United States"
The Trapps,1,770,"New York, United States"
