Area,Days,Height,Location
Brass Wall,1,"1,000","Nevada, United States"
Pedra da Gavea,1,"1,425","Rio de Janeiro, Brazil"
Gandalf Wall,2,"1,960","Nordland, Norway"
New Gap,1,100,"West Virginia, United States"
Owl Rock,1,100,"Utah, United States"
Crowders Mountain,1,130,"North Carolina, United States"
Tectonic Wall,1,140,"Kentucky, United States"
Aquidauana,1,145,"Matto Grosso do Sul, Brazil"
Cathedral Ledge,1,160,"New Hampshire, United States"
Hidden Valley Campground,1,180,"California, United States"
Pilot Mountain,1,180,"North Carolina, United States"
Whitehorse Ledge,1,"2,200","New Hampshire, United States"
Pao de Acucar,4,"3,960","Rio de Janeiro, Brazil"
Nelson Rocks,2,300,"West Virginia, United States"
Petes Rock,1,310,"Utah, United States"
Redgarden Wall,1,350,"Colorado, United States"
Cantagalo,1,400,"Rio de Janeiro, Brazil"
Graalzinho,1,45,"Rio de Janeiro, Brazil"
Seneca Rocks,21,"6,590","West Virginia, United States"
The Trestle,1,60,"North Carolina, United States"
El Potrero Chico,1,70,"Nuevo Leon, Mexico"
Rocky Face,1,80,"North Carolina, United States"
Stone Mountain,1,800,"North Carolina, United States"
Morro da Urca,2,880,"Rio de Janeiro, Brazil"
Johnnys Wall,1,90,"Kentucky, United States"
The Pickle,1,90,"Utah, United States"
