Area,Days,Height,Location
The Chimneys,1,60,"North Carolina, United States"
Taylor Canyon,1,170,"Colorado, United States"
Hartman Rocks,2,205,"Colorado, United States"
South Sixshooter,1,250,"Utah, United States"
Spring Creek,1,290,"Colorado, United States"
Redgarden Wall,1,350,"Colorado, United States"
Table Rock,1,450,"North Carolina, United States"
Stone Mountain,1,940,"North Carolina, United States"
Chasm Lake,1,1000,"Colorado, United States"
Black Canyon of the Gunnison,1,1025,"Colorado, United States"
