Tick ID,Date,Climb,Difficulty,Type,Area,Pitches,Height,Style,Notes
1286,2026-07-10,Pleasant Overhangs,5.7,Trad,Seneca Rocks,3,290,"Lead, Redpoint","Took the Thais corner straight up to the ledge at the start of the traverse this time. A fun variation! Started raining before I started the traverse then only got worse. We only felt it about half way through pitch 3, but were soaked by the time we both made it to the summit! "
1285,2026-07-09,Old Man's Route,5.2,Trad,Seneca Rocks,3,150,"Lead, Redpoint",Literally the fastest I've guided three clients on Old Mans! On the ground by noon after summitting
1283,2026-07-05,Humphrey's Head,5.4,Trad,Seneca Rocks,1,50,"Lead, Redpoint",Heard a cool pileated woodpecker in a nearby tree from the top!
1282,2026-07-05,Gert's Grungy Gulley,5.4,Trad,Seneca Rocks,3,150,"Lead, Redpoint",Guiding my cient up here to prep for the grand in approach shoes!
1281,2026-07-04,Roy Gap Chimney's,5.6,Trad,Seneca Rocks,1,90,"TR, Clean",TR to check my clients gear placements
1280,2026-07-04,Roy Gap Chimney's,5.6,Trad,Seneca Rocks,1,90,"TR, Clean",TR to check my clients gear placements
1279,2026-07-04,Roy Gap Chimney's,5.6,Trad,Seneca Rocks,1,90,"Lead, Redpoint",Setting up a TR for my clients to mock lead. Good spot for it!
1278,2026-07-03,Thais - Variation Thais Escape,5.5,Trad,Seneca Rocks,1,40,"Lead, Redpoint",Nuthin' to say
1277,2026-07-03,Thais,5.6,Trad,Seneca Rocks,2,160,"Lead, Redpoint",Hiding from the heat! 
1270,2026-06-29,Old Man's Route,5.2,Trad,Seneca Rocks,4,150,"Lead, Redpoint",Nuthin' to say
1269,2026-06-28,Conn's West,5.4,Trad,Seneca Rocks,1,300,"TRS, Clean",Nuthin' to say
1268,2026-06-28,Old Man's Route,5.2,Trad,Seneca Rocks,4,150,"Lead, Redpoint","Had a spider rappell off the tree at the top of the last pitch about a foot from my face and got to watch him slowly make his way down while I was belaying. Neat! My client also helped remove a really spooky loose block in the middle of the crux. 15 pounds-ish worth of rock, he pulled it out and held it while I lowered him to the ledge to stash it somewhere."
1255,2026-06-20,Skyline Traverse,5.3,Trad,Seneca Rocks,3,250,"Lead, Redpoint","What a zoo, people everywhere, but we were able to flow through without any holdups! Saw some craziness unfolding while we rappelled Beesting, some folks doing some weird shit rappelling down P1 of Skyline after doing Candy Corner? Weird."
1250,2026-06-13,Roy Gap Chimney's,5.6,Trad,Seneca Rocks,1,90,"TR, Clean",TR to clean
1249,2026-06-13,Roy Gap Chimney's,5.6,Trad,Seneca Rocks,1,90,"Lead, Redpoint",Nuthin' to say
1248,2026-06-12,Roy Gap Chimney's,5.6,Trad,Seneca Rocks,1,90,"TR, Clean",TR to clean juuuust before some wicked rain blew through!
1247,2026-06-12,Roy Gap Chimney's,5.6,Trad,Seneca Rocks,1,90,"Lead, Redpoint",Nuthin' to say
1246,2026-06-11,Bee Sting Corner,5.7,Trad,Seneca Rocks,1,75,"Lead, Redpoint",Nuthin' to say
1245,2026-06-11,T&T,5.8,Trad,Seneca Rocks,2,190,"Lead, Redpoint",Nuthin' to say
1244,2026-06-09,Prune,5.7,Trad,Seneca Rocks,1,90,"TR, Clean",Counterbalance lower to clean the anchors
1243,2026-06-09,Old Man's Route,5.2,Trad,Seneca Rocks,4,150,"Lead, Redpoint",Nuthin' to say
1241,2026-06-05,Old Man's Route,5.2,Trad,Seneca Rocks,1,90,"Lead, Redpoint","Had triple generational clients, and the little girl couldn't take it and I had to lower her back down, then rap Conn's back to the ground. Ended up taking her and her grandmother caving in The Womb while dad went up with Holly's crew!"
1236,2026-05-31,Thais - Variation Thais Escape,5.5,Trad,Seneca Rocks,1,40,"Lead, Redpoint","Against all odds, I bootied MY OWN nut tool that a client lost LAST YEAR! Just fished it out from under some leaves in the bottom of the wide crack on the ramp. Schweet!"
1235,2026-05-31,Thais,5.6,Trad,Seneca Rocks,2,160,"Lead, Redpoint",Saw some cute lil' owlets just off Roy Gap road on the walk up. Soooo cuteeee!!!
1233,2026-05-27,Front C,5.6,Trad,Seneca Rocks,1,50,"Lead, Redpoint",Nuthin' to say
1232,2026-05-27,Le Gourmet,5.4,Trad,Seneca Rocks,1,70,"Lead, Redpoint",Nuthin' to say
1231,2026-05-27,Ecstasy Junior,5.4,Trad,Seneca Rocks,2,160,"Lead, Redpoint","Sopping wet first pitch, then rained on my follower the whole time he was coming up the second pitch! Still goes though"
1225,2026-05-16,Windy Corner,5.4,Trad,Seneca Rocks,1,80,"Lead, Redpoint","Got SUPER WINDY as we were finishing up, which brought in some rain! Love having my painters tarp handy"
