Latitude,Longitude,name
36.340200," -80.480780","Gentle Ben"
36.39965," -80.29077","It's A Trap"
36.39965," -80.29077",Oh-V1-Kenobi
36.39965," -80.29077","The Taoist"
36.39965," -80.29077",V3PO
36.39965," -80.29077","Admiral Aretebar"
36.39965," -80.29077","What's In A Name"
36.39965," -80.29077","Boone Lounge"
36.39965," -80.29077","The Kessel Run"
36.340200," -80.480780",Eurozone
36.340200," -80.480780","Pump Street"
36.340200," -80.480780","Mild Mannered Secretary"
36.340200," -80.480780",Goldilocks
36.340200," -80.480780","Place Your Bet"
36.340200," -80.480780","Blind Prophet Lite"
38.833800," -79.366300",Discrepancy
38.833800," -79.366300","The Warlock"
38.833800," -79.366300","Conn's East Direct"
38.833800," -79.366300","Alcoa Presents"
38.833800," -79.366300","Spock's Brain"
36.39993," -80.28257","Do or Dive"
36.39993," -80.28257","Nuclear Crayon"
36.39764," -80.28578","Blue Chock"
36.39764," -80.28578",Washboard
36.3916," -81.0473","Bombay Groove aka Yankee Go Home"
36.3916," -81.0473","Mercury's Lead"
36.340200," -80.480780","Pole Dancing"
36.340200," -80.480780","Baby Bear"
36.340200," -80.480780","Mama Bear"
35.87908," -81.88682","The Tumbler"
35.87908," -81.88682","The Humbler"
36.340200," -80.480780","Black Rain"
36.340200," -80.480780","Smooth Sailing (aka Lloyd Would Have Liked It)"
36.340200," -80.480780","Henar Lite"
36.340200," -80.480780","Papa Bear"
36.340200," -80.480780","The Herculean Test"
36.340200," -80.480780","I Gotta Wear Shades"
36.09764," -81.77188","White Trash"
36.16644," -78.44528",Redacted
36.16644," -78.44528","Iced Tee"
36.16644," -78.44528","All Gold Everything"
36.16644," -78.44528","Tee Ball"
36.16644," -78.44528","Tight Rope"
36.340200," -80.480780","Teflon Toes"
35.88831," -81.88519","North Ridge"
35.88831," -81.88519","My Route"
36.61218," -81.49118","Highlands Lowball (corner version) Arete"
36.61218," -81.49118","All Things Considered"
36.61218," -81.49118","Sunset Arete"
36.61218," -81.49118","The Hive"
36.61218," -81.49118",Colony
36.61218," -81.49118","Eye of the Narwhal"
36.61218," -81.49118",Honeycomb
36.61218," -81.49118","Bumble Bee"
36.61218," -81.49118",Benadryl
36.069401," -78.891996","Flatten your Curves"
38.09332," -81.09376","Bubba Safari"
38.09332," -81.09376","Basic Bubba Crack"
38.09332," -81.09376","Eight Ball in the Side Pocket"
38.09332," -81.09376","Daisy Cutter"
38.09332," -81.09376","My Sister Makes Cluster Bombs"
38.09332," -81.09376",Werewolf
38.09332," -81.09376","Fred Sandstone Flake"
38.08299," -81.08043","The Distortionist"
38.08299," -81.08043","Rapscallion's Blues"
38.24193," -80.84067","That Eight"
37.8446," -83.6686","Flight Path"
37.8446," -83.6686","Going Ballistic"
38.0508," -81.03146","You Want It, You Got It"
38.0508," -81.03146","Brain Storm"
38.0508," -81.03146","Brain Tweezers"
38.07178," -81.08006",Jaws
38.07178," -81.08006","Stretch Armstrong"
38.08299," -81.08043",Realignment
38.08299," -81.08043","Jumpin' Jack Flash"
38.08299," -81.08043","Reaching New Heights"
38.08299," -81.08043","Reachers of Habit"
38.08299," -81.08043","The Entertainer"
38.08299," -81.08043","Warm-up Roof"
